Title,Director,Cast,Genre,year,Notes,Notes/Music,Music
Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, M. Manilal, Master Mohan, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Dadabhai Sarkari, Kusumkumari, Aga Hashr Kashmiri, Pestonji Madan",Mythology,1921,,,
King Gopichand a.k.a. Gopichand,Vishnupant Divekar,"Hira Koregaonkar, Mama Bhatt",Legend,1921,,,
Govardhan Dhari,G. V. Sane,,Mythology,1921,,,
Jagat Janani Jagadamba a.k.a. Ma Durga a.k.a. Mother Durga,Jyotish Bannerjee,,Mythology,1921,,,
Krishna Kumar a.k.a. Pradyumna,Vishnupant Divekar,,Mythology,1921,,,
Krishna Maya,Kanjibhai Rathod,Jamna,Mythology,1921,,,
Mahasati Ansuya a.k.a. Sati Ansuya a.k.a. Birth Of Shri Dattatreya,Kanjibhai Rathod,"Khalil, Vaidya, Sakina",Devotional,1921,,,
Meerabai a.k.a. Mira Bai,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921,,,
Mohini,Sisir Kumar Bhaduri,"Patience Cooper, S. K. Bhaduri",Devotional,1921,,,
Nal Damayanti,E. D. Liguoro,"Patience Cooper, E. D. Liguoro, D. Sarkari, K. Adajania, Albertina, Chhapgar",Mythology,1921,,,
Pundalik,Ganpat Shinde,,Devotional,1921,,,
Pundalik,Kanjibhai Rathod,,Devotional,1921,,,
Ratnakar,S. N. Ray,"Chunilal Dev, Shosha Mukhi, Sushila Debi",Mythology,1921,,,
Rukmini Haran,Kanjibhai Rathod,"Khalil, Tara, Moti, Sakina, R. N. Vaidya, Gangaram",Mythology,1921,,,
Rukmini Satyabhama a.k.a. Rukmini Kalyanam a.k.a. Rukmani Sathyabhama a.k.a. The Wedding Of Rukmani,R. Nataraja Mudaliar,,Mythology,1921,,,
Sant Tukaram a.k.a. Tukaram,Ganpat Shinde,,Devotional,1921,,,
Sati Madalsa,S. N. Patankar,,Mythology,1921,,,
Sati Sulochana,G. V. Sane,,Mythology,1921,,,
Salaam Aleikum,,,Social,1921,,,
Shani Prabhav,G. V. Sane,,Mythology,1921,,,
Shivratri,C. Legrand,"Kusum Kumari, Prabodh Bose",Mythology,1921,,,
Subhadra Haran,Kanjibhai Rathod,,Mythology,1921,,,
Surekha Haran a.k.a. The Elopement Of Surekha a.k.a. Surekha Abhimanyu,Baburao Painter,"V. Shantaram, Vishnupant Pagnis, Baburao Pendharkar, Ravji Mhaskar, Balasaheb Yadav, Ganpat Bakre, Zunzharrao Pawar, G. R. Mane, Gajrabai",Mythology,1921,,,
Themuras & Tehmuljee a.k.a. Aflatoon,,,Social,1921,,,
Tridandi Sanyas,Vishnupant Divekar,"Soni, Limaye, Anand Shinde",Mythology,1921,,,
Urvashi,Vishnupant Divekar,"Hira Koregaonkar, Limaye, Vithabai",Mythology,1921,,,
Valli Thirumanam a.k.a. Valli's Wedding,Whittaker,,Mythology,1921,,,
Valmiki,G. V. Sane,,Mythology,1921,,,
Vikram Satva Pariksha,G. V. Sane,,Mythology,1921,,,
Vishwamitra Menaka,Kanjibhai Rathod,"Ali Miyan, Jamna, Kesar, Raja Babu",Mythology,1921,,,
Vishnu Avatar a.k.a. The Incarnations Of Lord Vishnu,"Jyotish Bannerjee, C. Legrand",Patience Cooper,Mythology,1921,,,
Yashoda Nandan a.k.a. Yashoda's Son a.k.a. Shri Radha Krishna,"Dhirendranath Ganguly, Nitish Lahiri","Dhirendranath Ganguly, Sushiladevi, Manmatha Pal, Kunjalal Chakraborty, Pramodasundari, Amodini Dasi, Nitish Lahiri",Mythology,1921,,,
Ahiravan Mahiravan Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Shanta Nalgunde, Ghanshyam Singh, Sane",Mythology,1922,,,
Ajamil,Kanjibhai Rathod,"Khalil, Jamna, Homi Master, Gangaram",Devotional,1922,,,
Andhare Alo a.k.a. The Influence Of Love,"Naresh Mitra, Sisir Kumar Bhaduri","Durga Rani, Lila Debi, Sisir Kumar Bhaduri, Naresh Mitra, Jogesh Choudhury, Kankabati",Social Drama,1922,,,
Ashoka a.k.a. Samrat Ashoka,,,Historical,1922,,,
Bhakta Ambarish,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya",Devotional,1922,,,
Bhakta Shiromani a.k.a. Rajrishi Ambarish a.k.a. Bhakta Shiromani,Dadasaheb Phalke,,Devotional,1922,,,
Bhartrahari a.k.a. King Bhartrahari,S. N. Patankar,"Tara Koregaonkar, Thatte",Legend,1922,,,
Bhishma,Jyotish Bannerjee,"Master Mohan, Keki Adjania",Mythology,1922,,,
Bhishma Bana Shayya,,Madanrai Vakil,Mythology,1922,,,
Bhishma Pratigna,R. S. Prakash,,Mythology,1922,,,
Bidyasundar a.k.a. The Lover's Trance,Sundar Narayan Ray,Durgarani,Legend,1922,,,
Bimata a.k.a. Bijoy Basant a.k.a. Stepmother,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly, Miss Joy Billy",Social,1922,,,
Bisha Briksha a.k.a. Bishabriksha a.k.a. Poison Tree,Jyotish Bannerjee,"Durgadas Bannerjee, Miss Light, Basantakumari, Manoranjan Bhattacharya, Gopalchandra Bhattacharya, Lila Debi, Kartik Dey",Social Drama,1922,,,
Bodana a.k.a. Bhakta Bodhana a.k.a. Shri Ranchhodrai,S. N. Patankar,Raja Sandow,Legend Devotional,1922,,,
Damaji a.k.a. Bhakta Damaji a.k.a. Bhagwata Bhakta Damaji,Baburao Painter,"Baburao Pendharkar, Sushilabai, Gulabbai, Ravji M. Haskar, N. D. Sarpotdar, Zunzharrao Pawar, Ganpat Bakre",Devotional,1922,,,
Devi Todi,Kanjibhai Rathod,Jamna,Devotional,1922,,,
Doom Of The Yadavas a.k.a. Yadav Vinas,,,Mythology,1922,,,
Draupadi Swayamwar,Vishnupant Divekar,Kamala,Mythology,1922,,,
Draupadi Veni Bandhan a.k.a. The Fall Of The Kauravas a.k.a. Veni Bandhan,Vishnupant Divekar,"S. N. Patankar, Damle, Soni",Mythology,1922,,,
Gangavataran a.k.a. Bhagirathi Ganga,,"Patience Cooper, Dadibhai Sarkari",Mythology,1922,,,
Hara Gouri a.k.a. Lord Shiva And Parvati,Dhirendranath Ganguly,,Religious,1922,,,
Hari Talika,G. V. Sane,Bhaurao Datar,Mythology,1922,,,
Indrajit a.k.a. Indrajit O Lady Teacher,Dhirendranath Ganguly,"Seeta Devi, Dhirendranath Ganguly",Social,1922,,,
Jadunath,S. N. Patankar,"Tara Koregaonkar, K. G. Gokhale, Baba Vyas, Trimbakrao Pradhan, Kelkar",Legend,1922,,,
Kalidas,S. N. Patankar,"Tara Koregaonkar, Baba Vyas",Biopic Devotional,1922,,,
Karna a.k.a. Deserted Son Of Kunti,S. N. Patankar,Raja Sandow,Mythology,1922,,,
Lady Teacher,Dhirendranath Ganguly,,Comedy,1922,,,
Laila Majnu,J. J. Madan,"Patience Cooper, H. W. Waring, Miss Dot Foy, Jeanetta Sherwin",Romantic Legend,1922,,,
Mahashweta Kadambari a.k.a. Shap Sambhram,S. N. Patankar,"Tara Koregaonkar, Baba Vyas, Thatte, S. N. Patankar",Mythology,1922,,,
Malati Madhav,Kanjibhai Rathod,"Khalil, Tara, R. N. Vaidya, Miss Moti, Gangaram",Mythology,1922,,,
Pandavas In Exile a.k.a. Pandav Vanavas,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sakharam Jadhav",Mythology,1922,,,
Parikshit,,Vithaldas Panchotia,Mythology,1922,,,
Parsuram,,,Mythology,1922,,,
Pati Bhakti a.k.a. Pavitra Leelavati a.k.a. Husband Worship,J. J. Madan,"Patience Cooper, Master Mohan, Signorina F. Manelli, Manilal, Sayed Hussain",Social Drama,1922,,,
Pitroddhar a.k.a. Ganga The Redeemer,Manilal Joshi,,Mythology,1922,,,
Princess Budur a.k.a. Rajkumari Budur a.k.a. Tale Of Kamar-Al-Zaman,J. J. Madan,"Patience Cooper, Eugenio De Liguoro, Dorothy Bayley, Edna Dalies, Dadibhai Sarkari, Chapgar",Costume Fantasy,1922,,,
Radha Vilas,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology,1922,,,
Raja Bhoj,,"Patience Cooper, Albertina",Legend,1922,,,
Raja Parikshit a.k.a. Janmejaya's Serpent Sacrifice,Manilal Joshi,Miss Yakbal,Mythology,1922,,,
Ramayana,Jyotish Bannerjee,"Patience Cooper, Master Bhagaban Das, Signorina F. Mannelli",Religious Epic,1922,,,
Ratnavali a.k.a. The Lady From Lanka,Manilal Joshi,"Miss Yakbal, Elizer",Legend Mythology,1922,,,
Ratnavali a.k.a. Ratnabali a.k.a. Sea Nymph Of Ceylon,"Jyotish Bannerjee, C. Legrand","Patience Cooper, Miss Gohar, Miss Albertina, C. Legrand, Pandit Tulsidutt Saida",Legend Mythology,1922,,,
Sadhu Aur Shaitan,"Nitish Lahiri, Dhirendranath Ganguly","Dhirendranath Ganguly, Lina Valentine, Sushilabala, Manmatha Pal",Comedy,1922,,,
Sant Namdev a.k.a. Saint Namdeo,Dadasaheb Phalke,,Devotional,1922,,,
Sant Sakhubai,G. V. Sane,"Shanta Nalgunde, Visubhau Nirantar",Devotional,1922,,,
Sati a.k.a. Kalighat a.k.a. Daksha Yagna a.k.a. Origin Of Mahakali Temple,,Patience Cooper,Mythology,1922,,,
Sati Anjani a.k.a. Birth Of Hanuman,S. N. Patankar,"Tara Koregaonkar, C. C. Shah",Biopic Devotional,1922,,,
Sati Toral,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, Gani Babu",Devotional,1922,,,
Satya Narayan,V. S. Nirantar,"Anna Salunke, Shinde",,1922,,,
Sharmista Devyani,,,Puranic Drama,1922,,,
Shishupal Vadh a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Bachu Pawar, Sonabai, Sane",Mythology,1922,,,
Shri Ganesh Janma a.k.a. Ganesh Avatar,G. V. Sane,"Bhaurao Datar, Madhav Malasure",,1922,,,
Shri Markandeya Avtar a.k.a. Shiv Mahima a.k.a. Devotion's Reward,S. N. Patankar,"Damle, C. C. Shah, Baba Vyas",Devotional,1922,,,
Shri Satya Narayan,Kanjibhai Rathod,"Khalil, Sakina, Miss Moti, R. N. Vaidya, Tara Gani Babu, Raja Babu",Devotional,1922,,,
Sukanya Savitri,Kanjibhai Rathod,"Sakina, Miss Moti, Jamna",Devotional,1922,,,
Suryakumari,Narayan Deware,"Khalil, Tara, Miss Moti, Raja Sandow",Costume,1922,,,
Tara The Dancer a.k.a. Nartaki Tara,J. J. Madan,"Patience Cooper, Miss Chandra, Prabhodh Chandra Bose",Social,1922,,,
Veer Abhimanyu,Manilal Joshi,"Sultana, Fatma Begum, Madanrai Vakil",Mythology,1922,,,
Virat Parva,Vishnupant Divekar,"V. Y. Datar, Soni",Mythology,1922,,,
Babruwahan,Dadasaheb Phalke,"Bhaurao Datar, Sakharam Jadhav, Dada Pendse",Mythology,1923,,,
Bhakta Gora Kumbhar a.k.a. Gora Kumbhar The Devout,,Devotional,,1923,,,
Bhakta Sudhanva,,,Devotional,1923,,,
Buddha Dev a.k.a. Lord Buddha,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Charubai, Anna Salunke",Biopic Religious,1923,,,
Champraj Hada,,,Devotional,1923,,,
Chintamoni,Dhirendranath Ganguly,,Devotional,1923,,,
Durvas Shaap a.k.a. Curse Of Durvas,S. N. Patankar,"Thatte, Tara Koregaonkar",Mythology,1923,,,
Gayatri Mahatmya a.k.a. Venukumar,,,Mythology,1923,,,
Guru Dronacharya a.k.a. Drona The Teacher,Dadasaheb Phalke,"Bhaurao Datar, Charubai, Dada Pendse",Mythology,1923,,,
Guru Machindranath a.k.a. Streeyaraj a.k.a. The Kingdom Of Women,S. N. Patankar,Trymbakrao Pradhan,Mythology,1923,,,
Goswami Tulsidas,Kanjibhai Rathod,,Biopic Devotional,1923,,,
Janak Videhi a.k.a. King Janak,S. N. Patankar,,Mythology,1923,,,
Jara Sandha Vadha,Dadasaheb Phalke,"Bhaurao Datar, Bachu Pawar, Ghanshyam Singh",Mythology,1923,,,
Kamale Kamini a.k.a. Kamale Kamani a.k.a. Maid Of The Lotus,Sisir Kumar Bhaduri,"Sisir Kumar Bhaduri, Patience Cooper, Kusumkumari, Prabodh Bose, Tulsi Bannerjee, Rabindramohan Ray, Master E. Liguoro, Basantakumari, Akshoy Chakraborty, Nripen Bose",Mythology,1923,,,
Khokha Babu a.k.a. Khokababu,Chittranjan R. Goswami,"Chittaranjan Goswami, Naresh Mitra, Nagendrabala",Social Drama,1923,,,
Kirat Arjuna,Manilal Joshi,,Mythology Epic,1923,,,
Krishna Arjuna Yuddha,,,Mythology,1923,,,
Krishna Toola,,,Mythology,1923,,,
Life Of Lord Buddha,,,Biopic Religious,1923,,,
Maan Bhanjan a.k.a. Honour Retained a.k.a. All For Love,Naresh Mitra,"Durgadas Bannerjee, Naresh Mitra, Indu Mukherjee, Lila Debi, Sona Debi, Tinkari Chakraborty, Tulsi Bannerjee, Neelam Rani",Social Drama,1923,,,
Mahananda a.k.a. Sati Mahananda,Dadasaheb Phalke,,Devotional,1923,,,
Matri Sneha a.k.a. A Mother's Love,Jyotish Bannerjee,"Patience Cooper, Tulsi Bannerjee, Miss Kumud, Niroda Sundari, Sushila Sundari Jr., Kalidas Debi, Akshoy Chakraborty, Amar Choudhury, Prabhadevi, Edwin Mayer",Social Drama,1923,,,
Matsya Varah Avtar,,,Mythology,1923,,,
Maya Bazar,Baburao Painter,V. Shantaram,Mythology,1923,,,
Minal Devi a.k.a. The Sin Redeemed,Kanjibhai Rathod,"Khalil, Miss Moti, Tara",Social,1923,,,
Noorjehan a.k.a. Light Of The World a.k.a. Nurjehan,J. J. Madan,"Patience Cooper, Dadibhai Sarkari, Manchersha Chapgar, Charles Creed, Ezra Mir, Albertini",Biopic Historical,1923,,,
Raja Gopichand,,,Legend,1923,,,
Raja Mayurdhwaja,,"Madanrai Vakil, Asooji",Mythology,1923,,,
Samudra Madanam,R. S. Prakash,,Mythology,1923,,,
Sati Narmada,"Kanjibhai Rathod, Narayan Deware",,,1923,,,
Sati Veermata a.k.a. Pious Veermata,S. N. Patankar,,Historical,1923,,,
Savitri a.k.a. Savitri E Satyvan Savitri Satyvan,"Giorgio Mannini, J. J. Madan","Rina De Liguoro, Angelo Ferrari, Gianna Terribili-Gonzales, Bruto Castellani, Lydianne",Mythology,1923,,,
Shishupal Vadha a.k.a. The Killing Of Shishupal,G. V. Sane,"Bhaurao Datar, Sane, Bachu Pawar, Sonabai",Mythology,1923,,,
Shri Balkrishna a.k.a. The Child Krishna,"Kanjibhai Rathod, Narayan Devare",,Religious,1923,,,
Shri Krishna Avatar,Baburao Painter,V. Shantaram,Religious,1923,,,
Shri Krishna Bhakta Peepaji,S. N. Patankar,,Devotional,1923,,,
Shri Krishna Satyabhama a.k.a. Krishna Satyabhama a.k.a. Samantak Mani,S. N. Patankar,"Tarabai Koregaonkar, Thatte",Mythology,1923,,,
Shuk Rambha a.k.a. Shukh Deo,Kanjibhai Rathod,"Khalil, Tara",Fantasy,1923,,,
Silent Curse a.k.a. Sati Ka Shaap,Manilal Joshi,,Legend,1923,,,
Sinhagad,Baburao Painter,"Baburao Painter, V. Shantaram, D. Sarpotdar, Kamaladevi, Zhunzharrao Pawar, Balasaab Yadav, Nalini, K. P. Bhave, Baburao Painter, G. R. Mane",Historical Drama,1923,,,
Soul Of A Slave,Hemchandra Mukherjee,"Ahindra Chowdhury, Gokul Nag, Prafulla Ghosh, Jane Richards, Adele Willinsonworth, Hemchandra Mukherjee, Jugal Bose, Jyotish Mitra, Sudhir",Costume Drama,1923,,,
The Catechist Of Kil Arni,"R. S. Prakash, Thomas Gavin Duffy",Thomas Gavin Duffy,Religion,1923,,,
Vaman Avatar a.k.a. Raja Bali,S. N. Patankar,,Mythology,1923,,,
Vanraj Chavdo a.k.a. Vanraj Chavda,,,Historical Legend,1923,,,
Veer Bhimsen,Kanjibhai Rathod,"Miss Moti, Tara, Raja Sandow, Sakina, Savita",Mythology,1923,,,
Vratrasoor Vadha,,,Mythology,1923,,,
Yayati,Dhirendranath Ganguly,,Devotional,1923,,,
Ashwathama,Dadasaheb Phalke,"Bhaurao Datar, Dada Pendse, Gotiram, Madhav Malusare",Mythology,1924,,,
Atma Bal a.k.a. Sundar Kamdar,,"Elizer, Asooji",,1924,,,
Bal Shringee or Bal Shringi,,,Mythology,1924,,,
Bali Yagna,V. K. Pattani,"Nanubhai, Batukbhai Vaidya",Mythology,1924,,,
Bali Yagna a.k.a. Self-surrender At The Feet of the Master,Kanjibhai Rathod,,Mythology,1924,,,
Bismi Sadi a.k.a. Twentieth Century,Homi Master,"Raja Sandow, Miss Moti, Noor Mohammed Charlie",Social,1924,,,
Bhakta Sudhanva,,,Devotional,1924,,,
Chandan Malayagiri,Naval Gandhi,,,1924,,,
Chandragupta And Mahatma Chanakya a.k.a. Chandragupta Chanakya,,"Jilloobai, Asooji",Historical,1924,,,
Chandranath,Naresh Mitra,"Durgadas Bannerjee, Nirmalbala, Naresh Mitra, Jogesh Chowdhury",Social,1924,,,
Datta Janma a.k.a. Sati Ansuya,G. V. Sane,"Bhaurao Datar, Bachu, Ashraben, Motiram",Devotional,1924,,,
Dhruva Charitra a.k.a. The Story Of Dhruva,Jyotish Bannerjee,"Patience Cooper, Dadabhai Sarkari, Signor P. Mannelli, Signorina F. Mannelli, James Mcgrath, Master Mohan, M. Monilal, Agha Hashar Kashmiri",Mythology,1924,,,
Draupadi Bhagya a.k.a. Draupadi's Fate,Raghupathy S. Prakasa,,Mythology,1924,,,
Gajendra Moksham a.k.a. Gajendra's Nirvana,Raghupathy S. Prakasa,,Mythology,1924,,,
Gomata a.k.a. Sacred Cow,,,Devotional,1924,,,
Gul-E-Bakavali,Kanjibhai Rathod,"Zubeida, Fatma Begum, Khalil, Sultana, Noor Mohammed Charlie, Abdul Ghani, Miss Moti, Jamuna Sr.",Legend,1924,,,
Ishq No Umedwar,,,,1924,,,
Jayadratha Vadha,G. V. Sane,"Bhaurao Datar, Bachu Pawar",Mythology,1924,,,
Kala Naag a.k.a. Triumph Of Justice a.k.a. Kalyug Ki Sati,Homi Master,"Zubeida, Fatma Begum, Khalil, Sultana, Ibrahim, Tara, Miss Moti, Savita",True-life Crime Thriller,1924,,,
Kalyan Khajina a.k.a. The Treasures of Khajina,Baburao Painter,"Sultana, Master Vithal, Kamaladevi, Nalini, Zunzharrao Pawar, Baburao Painter, Chimasaheb Bhosle, K. P. Bhave",Crime Thriller,1924,,,
Karan Ghelo a.k.a. Karan Waghela,S. N. Patankar,,Historical,1924,,,
Kismet Ka Shikar a.k.a. Victims Of Fate,,,Social,1924,,,
Krishna Kumari a.k.a. Daughter Of Shripur,Gajanan S. Devare,,Costume,1924,,,
Manorama a.k.a. Hridaya Triputi,Homi Master,"Zubeida, Khalil, Sultana",Social,1924,,,
Mishar Rani a.k.a. Queen Of Mishar,Jyotish Bannerjee,"Durgadas Bannerjee, Ahindra Choudhury, Krishnabhamini, Niharbala, Naserwanji",Costume,1924,,,
Municipal Election a.k.a. Municipal Nivadnuk,Dadasaheb Phalke,"Bachu Pawar, Baburao Datar, Sakharam Jadhav, Shinde",Social,1924,,,
Nanda Batrisi a.k.a. Nand Batrishi,,"Dolores Berry, Asooji",Devotional,1924,,,
Nandanar a.k.a. Bhakta Nandan,Raghupathy S. Prakasa,,Devotional,1924,,,
Narsinh Mehta,Gajanan S. Devare,,Biopic Devotional,1924,,,
Navin Bharat a.k.a. New India a.k.a. Naveen Bharat,Kashinath Chatterjee,,Social,1924,,,
Navi Sethani a.k.a. Kanya Vikrya Ni Kahani,Homi Master,,Social,1924,,,
Paper Parinam a.k.a. Crime And Punishment,,"Probodh Chandra Bose, Nirmalendu Lahiri, Prabhadevi, Prabhavati",Social,1924,,,
Patni Pratap a.k.a. Wife's Achievement,J. J. Madan,Patience Cooper,Social,1924,,,
Poona Raided a.k.a. Poona Par Hallo,B. V. (Mama) Warerkar,"Dulari, Sundar Rao Nadkarni, Vishnupant Pagnis, Miss Bhawani. Krishnarao Ketkar, Vishnupant Pagnis, Miss Kaiser, Baburao Sansare, Datta Varane, Shankarrao Shinde, Pandharinath Kale",Historical,1924,,,
Prithvi Vallabh a.k.a. The Lord Of Love And Power,Manilal Joshi,"P.Y. Altekar, Wagle Sandow, Fatma Begum, Zubeida, Sultana, Miss Jaina, Bhalji Pendharkar",Historical,1924,,,
Prithviraj Chouhan a.k.a. Prithviraj Chauhan,,,Historical,1924,,,
Ra Mandlik,Homi Master,"Raja Sandow, Miss Yakbal, Ganibabu, Rajababu",Historical,1924,,,
Raja Harishchandra,"D.D. Dabke, Narayan Deware",,Mythology,1924,,,
Ranakdevi,S. N. Patankar,"Tarabai Koregaonkar, C. C. Shah",Historical,1924,,,
Razia Begum,"Nanubhai Desai, Bhagwati Mishra","Raja Sandow, Jilloobai",Historical,1924,,,
Repentance a.k.a. Paap No Pashchatap,Naval Gandhi,"Dolores Berry, Tara",Social,1924,,,
Sadevant Savlinga,,,Costume,1924,,,
Sadguni Sushila a.k.a. Sushila The Virtuous a.k.a. Triumph Of Truth,Kanjibhai Rathod,Raja Sandow,True-life Thriller Drama,1924,,,
Samudra Manthan a.k.a. The Churning Of The Ocean a.k.a. Ahankar Vijaya,V.K. Pattani,"Batukbhai Vaidya, Nanubai",Mythology,1924,,,
Sanyasi,Naval Gandhi,,Social,1924,,,
Sati Padmini a.k.a. Beauty of Rajasthan a.k.a. Siege of Chittor,Baburao Painter,"Ganpat Bakre, Balasaheb Yadav, Nalini, Zunzharrao Pawar, Dwarka, Bedi",Historical Drama,1924,,,
Sati Sardarba,Nanubhai Desai,"Fatma Begum, Sultana, Mohanlala, Putli, Zubeida",Devotional,1924,,,
Sati Seeta,Kanjibhai Rathod,,Religious,1924,,,
Sati Sone a.k.a. Halaman Jethvo,Homi Master,"Raja Sandow, Janibabu, Rajababu, Miss Moti, Jamuna Sr.",Devotional,1924,,,
Shah Jehan a.k.a. Shahjehan,"Ardeshir M. Irani, Naval Gandhi","Bhagwati Mishra, Elizer, Jilloobai",Historical,1924,,,
Shaitan Pujari,,,Social,1924,,,
Sharda,Dadasaheb Phalke,,Social,1924,,,
Shivaji's Escape From Agra a.k.a. Shivajichi Agryahun Sutaka,Dadasaheb Phalke,"Bhaurao Datar, Jardos, Laxman Malusare",Historical,1924,,,
Sita Shuddhi a.k.a. Ram Ravan Yuddha a.k.a. The Purification Of Sita,"G. V. Sane, Dadasaheb Phalke","Vasant Shinde, Chavan",Religious,1924,,,
Shri Dnyaneshwar,S. N. Patankar,,Devotional,1924,,,
Sita Vanvas a.k.a. Uttar Ramcharitra,V. S. Nirantar,,Religious,1924,,,
Sharif Badmash a.k.a. Society Scoundrel,Kanjibhai Rathod,"Ermeline, Madanrai Vakil, Shiraz Ali Hakim, Dorothy",Social,1924,,,
Sund And Upsund,G. V. Sane,,Mythology,1924,,,
The Debt Of Sin a.k.a. Paap No Fej,"Ardeshir Irani, Naval Gandhi","Elizer, Bhagwati Mishra, Tara, Asooji",True-life Crime Thriller,1924,,,
Turki Hoor,J. J. Madan,"Patience Cooper, Master Mohan, Master Narmada Shankar, Surajram, Sharifa, Manilal",Costume,1924,,,
Usha Swapna a.k.a. Usha's Dream,Raghupathy S. Prakasa,,Mythology,1924,,,
Vasant Prabha,,"Probodh Bose, M. Hussain, Kusumkumari, Prabhadevi",Social,1924,,,
Veer Ahir,Homi Master,"K. B. Athavale, Jamna",Legend,1924,,,
Veer Bharat,Jyotish Bannerjee,,Costume,1924,,,
Veer Durgadas a.k.a. Brave Durgadas,Bhagwati Mishra,"Bhagwati Mishra, Jilloo, Asooji",Historical,1924,,,
Vijaya a.k.a. Victory a.k.a. Vijay,Bhagwati Mishra,,,1924,,,
Vikram Charitra a.k.a. Buddhibal,"Nanubhai Desai, Dorabsha Kohla","Tara, Asubhai, Gopalji",Legend,1924,,,
Wages of Sin,,,,1924,,,
Amarsinh Daggar a.k.a. Marwad's Moti,Bhagwati Prasad Mishra,Madanrai Vakil,Historical,1925,,,
Anant Vrat,G. V. Sane,"Bhaurao Datar, Krishna Chauhan",Mythology,1925,,,
Baap Kamai a.k.a. Fortunes And Fools,Kanjibhai Rathod,"Gulab, Gohar, Gangaram, Putlibai, Ermeline, Nandram",Social,1925,,,
Bajirao Mastani,"Bhalji Pendharkar, Nanubhai B. Desai","Master Vithal, Yakub, Miss Jones, Nanasaheb Phatak, Sayani",Historical,1925,,,
